#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country,"D01T02: Agriculture, hunting, forestry",D03: Fishing and aquaculture,"D05T06: Mining and quarrying, energy producing products","D07T08: Mining and quarrying, non-energy producing products",D09: Mining support service activities,"D10T12: Food products, beverages and tobacco","D13T15: Textiles, textile products, leather and footwear",D16: Wood and products of wood and cork,D17T18: Paper products and printing,D19: Coke and refined petroleum products,D20: Chemical and chemical products,"D21: Pharmaceuticals, medicinal chemical and botanical products",D22: Rubber and plastics products,D23: Other non-metallic mineral products,D24: Basic metals,D25: Fabricated metal products,"D26: Computer, electronic and optical equipment",D27: Electrical equipment,"D28: Machinery and equipment, nec","D29: Motor vehicles, trailers and semi-trailers",D30: Other transport equipment,D31T33: Manufacturing nec; repair and installation of machinery and equipment,"D35: Electricity, gas, steam and air conditioning supply","D36T39: Water supply; sewerage, waste management and remediation activities",D41T43: Construction,D45T47: Wholesale and retail trade; repair of motor vehicles,D49: Land transport and transport via pipelines,D50: Water transport,D51: Air transport,D52: Warehousing and support activities for transportation,D53: Postal and courier activities,D55T56: Accommodation and food service activities,"D58T60: Publishing, audiovisual and broadcasting activities",D61: Telecommunications,D62T63: IT and other information services,D64T66: Financial and insurance activities,D68: Real estate activities,"D69T75: Professional, scientific and technical activities",D77T82: Administrative and support services,D84: Public administration and defence; compulsory social security,D85: Education,D86T88: Human health and social work activities,"D90T93: Arts, entertainment and recreation",D94T96: Other service activities,D97T98: Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use
Finland,17.649315 ,0.388219 ,0.492055 ,2.530685 ,0.183562 ,8.878082 ,1.320000 ,4.484384 ,13.087397 ,2.374795 ,7.952877 ,5.044110 ,3.471781 ,3.817808 ,5.629589 ,9.040000 ,11.113699 ,5.678356 ,17.665479 ,2.384658 ,1.426849 ,7.237808 ,13.443288 ,5.963014 ,48.460822 ,58.487397 ,15.494521 ,2.077260 ,2.792329 ,7.901096 ,2.326301 ,11.848219 ,10.877534 ,7.512603 ,20.007945 ,20.975342 ,83.601096 ,34.027397 ,24.447123 ,36.741918 ,32.924110 ,60.956164 ,8.121096 ,10.372877 ,1.142192 
France,121.558904 ,2.434795 ,0.615068 ,5.149041 ,0.375342 ,134.624658 ,15.348493 ,10.720822 ,28.158630 ,16.249041 ,62.177808 ,39.905205 ,34.391507 ,25.909863 ,21.740000 ,64.880000 ,40.456164 ,21.315068 ,37.778904 ,40.019452 ,49.367123 ,93.866301 ,116.309589 ,50.896164 ,381.419726 ,702.304110 ,149.854795 ,5.720274 ,21.988767 ,99.747945 ,28.023836 ,200.279452 ,83.037534 ,80.987123 ,199.670959 ,261.951233 ,876.804384 ,553.098630 ,398.361370 ,530.272329 ,365.301918 ,623.005205 ,95.097808 ,91.492877 ,9.661096 
Germany,71.969863 ,0.875068 ,6.254247 ,7.452603 ,0.360000 ,152.991233 ,26.096164 ,22.426027 ,59.369315 ,14.670959 ,152.446027 ,82.843288 ,98.689589 ,60.270411 ,74.063014 ,189.252055 ,141.373425 ,148.687671 ,346.145479 ,450.849863 ,48.786575 ,131.825753 ,191.942740 ,109.115616 ,484.351507 ,983.060274 ,166.967397 ,24.675068 ,23.846301 ,170.006301 ,54.164384 ,159.972329 ,101.298630 ,86.859726 ,286.873973 ,377.975342 ,"1,037.652603 ",634.492055 ,513.863014 ,605.731507 ,447.127397 ,757.064110 ,133.647671 ,218.525205 ,24.160274 
Greece,20.015068 ,1.945479 ,0.297260 ,2.015068 ,0.061096 ,16.727945 ,1.702192 ,0.315342 ,2.071507 ,2.560822 ,3.137260 ,2.608493 ,1.908493 ,2.636712 ,3.606849 ,3.320000 ,0.804110 ,1.044932 ,1.204384 ,0.158904 ,1.026301 ,2.349589 ,15.638630 ,6.606027 ,7.580548 ,65.106849 ,9.185205 ,14.803836 ,2.232055 ,9.669041 ,1.614795 ,37.258356 ,2.356164 ,9.938904 ,4.331233 ,27.818630 ,85.587671 ,17.302740 ,9.243562 ,53.551233 ,28.775616 ,22.352877 ,8.265479 ,7.479452 ,2.014521 
Hungary,15.313699 ,0.057808 ,0.206301 ,0.404110 ,0.420548 ,7.840548 ,1.685753 ,0.994795 ,2.405479 ,2.808767 ,4.747123 ,4.747123 ,5.578630 ,2.794521 ,2.500548 ,5.872877 ,7.552055 ,3.864110 ,5.806027 ,15.853151 ,0.632877 ,4.947671 ,5.569041 ,3.167397 ,19.441370 ,40.292603 ,11.228219 ,0.037534 ,2.075616 ,7.116712 ,1.701644 ,7.003014 ,3.586575 ,4.936712 ,9.619452 ,12.959178 ,28.719726 ,22.792329 ,14.770685 ,29.348493 ,16.359452 ,16.644384 ,5.359726 ,5.193425 ,0.124932 
Iceland,0.605205 ,2.187397 ,0.004110 ,0.076986 ,0.000274 ,2.769315 ,0.075616 ,0.045479 ,0.145205 ,0.010959 ,0.118904 ,-0.011507 ,0.087945 ,0.333973 ,0.816438 ,0.489315 ,0.030137 ,0.053151 ,0.520274 ,0.013699 ,0.012603 ,0.752329 ,2.255068 ,0.527123 ,5.037808 ,5.821644 ,0.781918 ,0.501918 ,1.720822 ,1.256712 ,0.187123 ,2.439452 ,0.297260 ,0.809315 ,1.765205 ,3.782740 ,7.381644 ,2.770959 ,2.852877 ,3.476712 ,3.890959 ,5.381918 ,0.912877 ,0.962466 ,0.034521 
Ireland,8.761644 ,0.498630 ,0.092329 ,1.859452 ,0.044384 ,29.571781 ,0.485205 ,1.116712 ,1.696712 ,31.881370 ,40.529589 ,119.534247 ,3.241370 ,4.316712 ,0.978356 ,3.217260 ,35.644932 ,1.403836 ,11.920000 ,0.613425 ,0.578904 ,55.727123 ,9.774521 ,3.971781 ,25.465753 ,76.936164 ,7.976712 ,0.192603 ,4.634247 ,4.334795 ,2.603014 ,17.537260 ,58.660822 ,9.970685 ,56.287945 ,59.250685 ,63.626301 ,45.295890 ,62.684932 ,31.890685 ,26.285753 ,46.120548 ,7.883288 ,5.198904 ,0.303014 
Israel,10.930137 ,0.671781 ,0.724932 ,7.376438 ,0.401096 ,12.849315 ,2.087123 ,0.575342 ,3.422192 ,9.680000 ,11.140822 ,9.050685 ,5.252877 ,3.276986 ,1.626301 ,9.489589 ,26.576712 ,1.535890 ,5.338082 ,1.053425 ,4.355890 ,5.856986 ,14.441918 ,1.714795 ,59.302740 ,88.474521 ,14.710411 ,2.862466 ,8.501370 ,2.403288 ,1.816164 ,18.412329 ,5.403562 ,16.426301 ,62.811233 ,44.300822 ,140.219726 ,67.084658 ,34.599452 ,54.214521 ,61.443014 ,56.599178 ,16.323014 ,9.238904 ,2.510685 
Italy,109.305479 ,3.053151 ,9.358904 ,4.013151 ,0.648493 ,94.617534 ,83.623288 ,15.196986 ,32.357534 ,9.857808 ,39.879178 ,30.273425 ,41.216986 ,31.513425 ,30.538904 ,107.935890 ,27.120000 ,37.075890 ,126.341644 ,49.293425 ,25.283836 ,74.994521 ,81.080000 ,52.687397 ,218.336712 ,614.709589 ,146.697534 ,12.052055 ,7.941096 ,107.782740 ,10.319452 ,201.830137 ,29.070137 ,56.692603 ,102.909589 ,250.011233 ,694.177534 ,327.099726 ,168.806575 ,335.736986 ,210.586301 ,304.990959 ,58.433973 ,92.479178 ,58.582192 
Japan,117.833973 ,18.224658 ,2.395890 ,4.979452 ,1.608493 ,311.916438 ,36.295890 ,22.751233 ,113.809041 ,56.421918 ,167.243836 ,102.919452 ,131.930959 ,72.797260 ,230.463288 ,132.197260 ,212.701096 ,176.606301 ,408.129589 ,302.959452 ,49.613151 ,187.961370 ,179.840274 ,201.194521 ,698.873699 ,"1,704.521644 ",435.287945 ,29.540274 ,18.485753 ,180.072877 ,27.766849 ,329.363014 ,115.911507 ,229.351233 ,290.737260 ,531.833973 ,"1,525.076712 ",593.456438 ,458.590959 ,642.663014 ,447.729589 ,"1,000.095342 ",120.453151 ,166.156712 ,0.000000 
